Year	Page	Abstract
2019	62	Data Integration Data driven Discovery from Diverse Data Sources
2019	62	Impact of Reference Panel Choice for Imputation on Genome wide Association
2019	62	Addressing the Missing Data Issue in Study Results for Type
2019	62	Diabetes in Arab Multi phenotype Genome wide Association Population Studies
2019	62	Progress and Controversy in Analysis of Complex Phenotypes Based on Genome wide Association Statistics
2019	62	Recurrency Approaches Using Random Forests to Identify Genetic Risk Factors While Controlling Family wise False Positive Rates
2019	62	A Framework for Transcriptome Wide Association Studies in Breast Cancer in Diverse Study Populations
2019	62	Estimation of SNP based Heritability in Multi ethnic Studies
2019	62	Integrative Omics Approach Identifies Association Between Dementia Risk and Non coding Variants also Associated with Gene Expression in Brain
2019	62	Novel Association of G quadruplex SNPs in Schizophrenia Candidate Genes with Cognition and Tardive Dyskinesia in a Schizophrenia Cohort
2019	62	Genomic Imprinting Analyses Reveal Maternal Effects to be a Cause of Genotypic VariabilityinType1DiabetesandRheumatoid Arthritis
2019	62	Association of Polygenic Risk Scores for Body Mass Index and Systolic Blood Pressure in a Pediatric Cohort Requiring Surgery for Congenital Heart Defects
2019	62	Covariate Adjusted Permutation for Millions of Samples
2019	62	Next Generation MB MDR Taking the Challenge to Enhance Replication and Interpretation in Epistasis Studies for Complex Traits
2019	62	IMHOTEP a Composite Score Integrating Popular Tools for Predicting the Functional Consequences of Non synonymous Sequence Variants
2019	62	An Efficient Identity by Descent Mapping Test for Biobank scale Cohorts
2019	62	PCSK9 Variants and Type
2019	62	Diabetes
2019	62	Transcriptomic and Exonic Profiles of Risk in People of African Ancestry a Meta Hispanic Individuals, Comparing Obese with analysis Study N = 30,000 Abnormally Low Triglycerides to Those of Normal Weight with Hypertriglyceridemia
2019	62	A Principal Component Approach to Polygenic Risk Scores to Avoid Over and Underfitting
2019	62	Investigating the Use of Machine Learning Methods to Build Risk Prediction Models for Complex Disease
2019	62	QTL Remapping of Murine Eye Weight Reveals Novel Candidate Genes for Ocular Growth
2019	62	A Novel Locus Identified in Chromosome
2019	62	of Mouse Modulates Lens Weight
2019	62	Developing a Genetic Risk Index for
2019	62	Statistical Interaction and Mendelian Peanut Allergy Randomization Are They The Same?
2019	62	Towards an Accurate Cancer Diagnosis Modelization Comparison of Random Forest Strategies
2019	62	Epigenome wide Association Study of Immunoglobulin E Levels Using High resolution Dna Methylation Profiling
2019	62	Identification of Selective Sweeps Through Deep Learning in Whole Genome Sequenced Malaria Parasites
2019	62	A Powerful and Versatile Colocalization Test
2019	62	An Online Platform for Densely Imputed GWAS Summary Statistics
2019	62	Epigenome wide Association Study of Change in Blood Metabolite Levels From Young to Middle Adulthood in the Northern Finland Birth Cohort
2019	62	Host Genome wide Association Study of Infant Susceptibility to Shigella associated Diarrhea
2019	62	A Powerful Gene set Analysis Method Identifies Novel Associations and Improves Interpretation in Uk Biobank
2019	62	Improving Efficiency in Epistasis Detection with a Gene based Analysis Using Functional Filters
2019	62	Optimal Two phase Designs in Practice Considerations and an Illustration
2019	62	Role of Functional Non Coding Variants in the Germline DNA in the Ovarian Cancer Predisposition
2019	62	Using External Controls to Account for Mating Asymmetry in Maternal Genetic Association
2019	62	Case only Design to Investigate Interactions Between Genetic Factors and Tobacco Smoke in Patients with Aggressive Periodontitis
2019	62	Multi phenotype Transcriptome wide Association Study (TWAS) Tests Using Summary Statistics
2019	62	Applications of Multidimensional Time Model for Probability Distribution Function and Time Scales to Investigations in the Immune System Behavior
2019	62	Association Mapping of Multivariate Phenotypes in the Presence of Missing Data
2019	62	Ordered Multinomial Regression for Genetic Association Analysis of Ordinal Phenotypes
2019	62	Circulating Sex Hormone Levels and DNA Methylation in Blood an Analysis of Repeated Samples from Men
2019	62	Whole exome Sequencing and Protein Interaction Networks to Prioritize Candidate Genes for Susceptibility to Melanoma
2019	62	An African Ancestry Uterine Fibroids
2019	62	Leveraging Genetic Ancestry for New Polygenic Risk Score (PRS) Identifies Insights into Complex Traits in Admixed Associations with Other Gynecologic Populations Conditions in the Clinical Phenome
2019	62	Discovery of Pleiotropic Variants Associated with Multiple Sclerosis and Migraine
2019	62	GWAS of the Postprandial Triglyceride ResponseYieldsCommonGeneticVariationin Hepatic Lipase ( )
2019	62	Causal Inference for Highly Pleiotropic Biomarkers Using Mendelian Randomization and Bayesian Networks
2019	62	A Recall by genotype Pilot Study to Assess the Effects of Common Variants on Oral Iron Absorption
2019	62	Best Practices to Integrate Transcriptome Data with Gwas Studies to Understand the Biology of Complex Traits
2019	62	Cohort Study of Serum Bisphenol A, Polygenetic Risk Score, and Thyroid Cancer in Korea
2019	62	Genome wide Analysis of Non completion of Controlled Exercise Trials in Sedentary Adults
2019	62	Hierarchical Modeling Framework for Mendelian Randomization and Transcriptome wide Association Approaches for Correlated SNPs and Intermediates
2019	62	Genome wide Association Study in Multiplex Consanguineous Pakistani Pedigrees with Schizophrenia and Bipolar Disorder
2019	62	Identifying Drug Targets Using Human Genetics at Scale
2019	62	eMERGE Phenome wide Association Study of Biogeographic Ancestries Predicts Ocular, Immune System, Renal, Cardiometabolic, Gynecological, and Vector borne Disease Risk
2019	62	Epigenetic Loci for Blood Pressure are Associated with Hypertensive Target Organ Damage in an Older African American Population
2019	62	Entanglement Mapping A Model free Approach to Detecting
2019	62	aNSAIDS and Colorectal Cancer Results Interactions Among Predictive Features from Genomewide Gene Environment Interaction Scans
2019	62	Comparison of Imputation Quality for
2019	62	Four Novel Signals Suggest Possible an Arab Population Using Different Genetic Component to Age of onset of References, GWAS Panels, and Methods Idiopathic Pulmonary Fibrosis
2019	62	An Extended Expression Prediction
2019	62	Leveraging External Repositories to Approach for Twas Leveraging the Generate Calibrated Rare Variant Gene Risk cis mediator eQTL Paradigm Scores
2019	62	A Rare Variant Nonparametric Linkage Method for Nuclear and Extended Pedigrees with Application to Late onset Alzheimer's Disease Using Whole Genome Sequence Data
2019	62	Can Identity by descent Sharing Information Complement Population Based Imputation Algorithms?
2019	62	QC Measurements of Exome Chip Sequence Data in a Family based Study
2019	62	Fast and Powerful Method for eQTL and Fine mapping Integrating Total and Allele specific Expression
2019	62	FamRVC Program for Family based Rare Variant Association Tests for Censored Traits and its Applications to Age at onset of Alzheimer's Disease
2019	62	Exome wide Low frequency Genetic Variants Contribute to Human Craniofacial
2019	62	Independent Replication of Genetic Morphology Associations with Urinary Bladder Cancer Prognosis in the UK Biobank Using Hospital Record Data
2019	62	Whole genome Bisulfite Sequencing in Systemic Sclerosis Provides Novel Targets to Understand Disease Pathogenesis
2019	62	Testing Gene environment Interactions Without Measuring the Environment
2019	62	Network based Identification of Key Master Regulators for Immunologic Constant of Rejection in Cancer
2019	62	Comprehensive Analysis of Pulmonary Surfactant Metabolism Genes and Gene Expression Patterns Associated with Lung Cancer Risk
2019	62	Efficient Estimation of Hidden Ancestry Structure Using Summary Genotype
2019	62	Analysis of Whole Exome Sequencing Frequency Data Data of Hereditary Lung Cancer Families Identifies Germline Copy Number Variations (Cnvs) in Multiple Genes
2019	62	A Bayesian Model to Estimate MicrobiomeNetworkChangeswithRespectto a Covariate Profile
2019	62	Genetic Correlations and Exploration of Uterine Fibroid Clinical Phenome in Black and White Women
2019	62	Nearest neighbor Projected distance Regression to Detect Network Interactions and Control for Confounders, Population Structure and Multiple Testing
2019	62	Germline Mutations in the Gene are Associated with Increased Risk For Additional Cancers Including Female Reproductive System Cancers
2019	62	Genome wide Gene smoking Interaction Analysis of Lung Function in UK Biobank
2019	62	Highly Aggregated Lung Cancer Families Show Significant Linkage to Chromosome 12q23.3 for Cancer Risk
2019	62	Genetic Association Testing with Multivariate Outcomes Methods Comparison with Application to Cognition and Eye Disease
2019	62	The Future of Genomic Studies Must be Globally Representative
2019	62	Metasubtract An R package to Analytically Produce Leave one out Meta analysis Summary Statistics
2019	62	Risk Prediction for Colorectal Cancer Based on Extended Family History and Body Mass Index
2019	62	Prostate Cancer Risks For Male and Mutation Carriers Prospective Analysis of the EMBRACE Study Cohort
2019	62	A Flexible Copula based Approach for the Analysis of Secondary Phenotypes in
2019	62	LDScore Regression Identifies Novel Ascertained Samples Associations Between Glioma and Auto immune Conditions
2019	62	An Adjusted Survival Tree Model in Search of Genetic Polymorphisms Predictive for Oxaliplatin Treatment in Colorectal Cancer
2019	62	Genome wide Association Study of the Cerebrospinal Fluid Metabolome
2019	62	Polygenic Risk Scores Accounting for LD Estimation and Model Selection Based on GWAS Summary Statistics
2019	62	Modeling Heterogeneity of Complex Traits Using Mixture Models and Secondary Phenotypes
2019	62	Integrating Germline and Somatic Genetics to Identify Genes Associated with Lung Cancer
2019	62	Interaction Analyses of Risk Allele Status and the HLA Region for Idiopathic Pulmonary Fibrosis Susceptibility
2019	62	Uterine Leiomyomata Polygenic Risk Score (PRS) Confers Novel Relationships in the Clinical Phenome
2019	62	Imputation of Missing Genotypes and
2019	62	A Novel Statistical Test Identifies Eight Estimation of Relatedness Between Subjects Loci Associated with Two Non syndromic Without Genetic Data Across Pedigrees Orofacial Cleft Subgroups in GWAS of Multi Ethnic Case Parent Trios
2019	62	Association Analyses of Handgrip Strength Leveraging Longitudinal and Sequence Data from the Trans omics for Precision Medicine (TOPMed) Program
2019	62	Identifying Risk Factors Involved in the Common Versus Specific Liabilities to Substance Abuse a Genetically Informed Approach
2019	62	Change in Ancestry related Assortative Mating in the United States Implications for Genetic Diseases
2019	62	Testing for MultipleSharedVariants in TwoTraitswithSummaryGeneticAssociation Data
2019	62	Comparison of Multiple Phenotype Association Tests Using Summary Statistics in Genome wide Association Studies
2019	62	Smoothed Moving Landmark Analysis for the Age dependent Effects of DNA Methylation on the Risk of Coronary Heart Disease
2019	62	The Association Between Common
2019	62	Accounting for Covariates in Tiled Risk Factors for Age related Disease and DNA Regression Analysis of Complex Traits Methylation Clocks in an African American Population
2019	62	A Novel Method to Estimate the Distribution of Ancestral DNA Sequence
2019	62	Multi omic Analysis of Discordant and Concordant Sib pairs with Inflammatory Bowel Disease
2019	62	Polygenic Risk Scores and Epistatic Components for Alzheimers Disease Prediction
2019	62	Multi ancestry Genome wide Meta analysis Accounting for Gene education Interactions in Up to 227,850 Individuals Identifies Several Novel Lipid Loci
2019	62	MOPower a Web Application and Reporting Tool for the Simulation and Power Calculation of Multi omics Study Data
2019	62	Epigenetic Aging of the Placenta SexuallyDimorphicInfluenceonFetalGrowth and Risk of Low Birth Weight
2019	62	Comparison of Pathway Guided Random Forests Approaches for the Integration of Biological Knowledge and Omics Data
2019	62	SNP based Epistasis Detection a Lost Cause?
2019	62	Gene based Rare Variant Association
2019	62	Allele specific QTL Fine mapping with Tests for Ancestry matched Case control Data Plasma
2019	62	Detecting Tumor immunity specific Expression QTL in Cancer
2019	62	Estimation of Mediating Effect in a Mediation Model with a Censored Mediator in a Case control Study
2019	62	Identification of Trans eQTLs Using Mediation Analysis with Multiple Mediators
2019	62	A Two stage Epigenome Wide Association Study Identifies Novel Pancreatic Cancer Susceptibility Loci by Leveraging Public Controls
2019	62	Implementing Pharmacogenomics in Clinical Practice Challenges and Realities to Managing Gene drug Pair Information in the Electronic Medical Record
2019	62	Incorporating Admixed Samples in Meta analysis Methods of Genome wide Association Studies
2019	62	Dyslexia Associated Functional Variants in Europeans are not Associated with Dyslexia in Chinese
2019	62	Genome wide Meta analysis Identifies Deletions or Excess Homozygosity Implicated in Head and Neck Cancer Susceptibility
2019	62	Improving Power and Avoiding Pitfalls in Gene environment Interaction Scans
2019	62	A Bayesian Method to Integrate Multi omics Data for Disease Prediction
2019	62	An Improved Maximum Information Coefficient Approach to Uncover Relationships of Variables in Big Datasets
2019	62	Blood Lipoprotein Cholesterols Cause Coronary Artery Disease from Multivariate Mendelian Randomization Analysis
2019	62	Adaptive Testfor Meta analysisofRare Variant Association Studies
2019	62	High dimensional Regularized Regression for Identifying Gene environment Interactions Incorporating External Information
2019	62	Effects of Mitochondrial DNA Variants on Blood Biomarkers
2019	62	Incorporating SNP Data While Identifying Dna Methylation Changes Associated with Disease
2019	62	Genome wide Association Study of Longitudinal Executive Functions
2019	62	Semiparametric Accelerated Failure Time Mixture Cure Model for Clustered Data
2019	62	Modelling CovariateEffectsinBisulfite Sequencing derived Measures of DNA Methylation, in the Presence of Overdispersion
2019	62	A Gene Based Association Test Utilizing an Optimally Weighted Combination of Multiple Traits
2019	62	Comparison and Evaluation of Pathway and Gene level Methods for Cancer Prognosis Prediction
2019	62	Estimated Total Mediation Effects for Multiple Types of High dimensional Omics in Over
2019	62	Individuals on Aging related Variation in Blood Pressure
2019	62	Empirical Bayes Methods for Genetic Risk Prediction
2019	62	Transcriptome wide Association Study Identifies Novel Candidate Genes Associated with Osteoporosis
2019	62	Association Between Alzheimer's Disease Risk SNPs and Episodic Memory in South Asians from the LASI DAD Study
2020	65	Accounting for cumulative effects of
2020	65	Racial differences in methylation time varying exposures in the analyses of pathway structured predictive models and gene environment interactions breast cancer survival
2020	65	Effect of population stratification on SNP by environment interaction
2020	65	Multi omic strategies for transcriptome wide prediction and association studies
2020	65	Estimation of non reference ancestry proportions in genotype frequency data
2020	65	Quality control in genome wide association studies revisited A critical evaluation of the standard methods
2020	65	Characterization of direct and/or indirect genetic associations for multiple traits in longitudinal studies of disease progression
2020	65	Extensions to rare variant association tests under an affected sibling pair design
2020	65	Identification of novel susceptibility loci for lung cancer using cross ancestry
2020	65	Reducing complex dependency genome wide meta analyses structure by graphical models with an application to Y chromosomal haplotypes
2020	65	GWAS meta analysis study for circulating metabolites identifies new loci, and reveals their implications for human health, drug development, and the causal role on cardio metabolic traits
2020	65	Functional variant at the 12p13.31 CRC risk locus regulates LTBR expression through a long range interaction
2020	65	Causal effects of and
2020	65	Leveraging the relatedness in a large variants on fasting glucose levels scale biobank to identify novel serum lipid related genes
2020	65	Deep DNA sequencing reveals genomic differences between esophageal squamous cell carcinoma and precancerous lesions
2020	65	GWAS transethnic meta analysis of BMI in ~700k individuals reveals novel gene smoking interaction in African
2020	65	Realising the power of big biobanks in populations diverse populations for stroke medicine
2020	65	Challenge of collider bias in heart disease progression studies
2020	65	PRSet Pathway specific polygenic risk score software
2020	65	Genome wide meta analysis of primary biliary cholangitis in 10,516 cases and 20,772 controls identifies potential drug candidates for re purposing
2020	65	Evaluating machine learning models for building risk prediction models in complex datasets
2020	65	Germline sequencing of DNA repair genes in 5,545 men with aggressive and
2020	65	Asthma, gender and the epigenetic nonaggressive prostate cancer clock
2020	65	Genome wide association study in COPD
2020	65	Improved mediation analyses in case control studies
2020	65	Fast detection of unmeasured GxE and GxG interactions using distribution free assumptions
2020	65	Single cell transcriptomic analysis in a mouse model deciphers cell transition states in the multistep development of esophageal cancer
2020	65	Metabolomics enhances understanding of genomic and metagenomic variation to provide novel insights into human health
2020	65	Cross cancer cross tissue Transcriptome wide Association Study (TWAS) of
2020	65	cancers identifies
2020	65	novel genes
2020	65	Detecting time varying genetic association with mixed effects models
2020	65	Japanese specific imputation reference panel using 7,000 whole genome sequences reveals novel rare variant association with serum uric acid
2020	65	Permutation based variable importance measures for unsupervised random forests
2020	65	Methylome wide association study identifies CpG sites associated with
2020	65	complex traits
2020	65	Whole genome sequencing analysis of the cardiometabolic proteome
2020	65	Allele based association mapping of longitudinal phenotypes via binomial regression and Mahalanobis distance
2020	65	A Mendelian randomization approach to evaluate genetic support for lipid modifying drug targets
2020	65	Whole exome sequencing analysis of complex Time To Event outcomes in epilepsy patients
2020	65	Effects of body mass index on the human proteome Mendelian randomization study using individual level data
2020	65	Trans ethnic genome wide association meta analysis of >195,000 individuals reveal novel loci for kidney function decline
2020	65	Chances and challenges of machine learning based disease classification in genetic association studies illustrated on age related macular degeneration
2020	65	Evaluating the predictive performance of genetic and non genetic scores in cardiovascular disease
2020	65	Measuring population substructure with the robust Jaccard index
2020	65	LD score regression analysis of liver cancer using multi traits from UK Biobank
2020	65	A fast and efficient smoothing approach to LASSO regression and an application to a genome wide association study for COPD
2020	65	Evaluation of breast cancer polygenic risk score built on data from women of European decent in predicting breast cancer risk in Asian women
2020	65	Genetics of primary open angle glaucoma differ in individuals of Caucasians and African ancestry
2020	65	Application of Bayesian networks to rheumatoid arthritis and intermediate biological marker data
2020	65	Statistical integration of methylation, transcriptome and proteome data in cell lines
2020	65	Haplotype analysis of / variants in Korean patients with breast cancer
2020	65	Multi ethnic genome wide association study of acute lymphoblastic leukemia
2020	65	Is the association between CYP2A6 and lung cancer mediated through smoking behavior?
2020	65	The role of brain derived neurotropic
2020	65	A Bayesian hierarchical model for factor (BDNF) genetic variants in exercise estimating covariate effects on training
2020	65	methylcytosine and
2020	65	hydroxymethylcytosine levels in oxy bisulfite treated DNA
2020	65	Exploring the total and direct effect of
2020	65	triglyceride containing lipoprotein sub fraction metabolites and coronary heart disease A two sample Mendelian
2020	65	Contribution of rare variant(s) to the randomisation analysis genetic risk score
2020	65	Phenome wide association study of a
2020	65	Expanded clustering of type
2020	65	diabetes comprehensive health check up database genetic loci using high throughput in 10,349 Korean population Clinical approach application & transethnic comparison
2020	65	Genetic interactions between
2020	65	The human urine microbiome in type blood group alleles and and
2020	65	diabetes mellitus from KARE cohort modified the risk of pancreatic study cancer
2020	65	Multi omics association tests with matched samples with replacement
2020	65	Confidence intervals and their coverage probabilities for predictions by
2020	65	Fast kernel based rare variant random forests association tests integrating variant annotations from deep learning
2020	65	Establishing polygenic risk score reporting standards and a polygenic score catalog to improve validation,
2020	65	Investigating causal effects of genetic interpretation and reproducibility variants for Alzheimer's disease in the UK Biobank
2020	65	A flexible hierarchical approach for multi ethnicity or multi tissue high throughput omics data for Mendelian randomization or transcriptome analysis
2020	65	Identification of representative trees in random forests based on a new tree based distance measure
2020	65	Related pain in patients with breast cancer A pathway based analysis
2020	65	Do causal estimates of differential adiposity effects show evidence of impact on the circulating metabolome?
2020	65	Two sample Mendelian randomization study of lipid level and ischemic heart disease
2020	65	Selection of filtering thresholds on QC measurements in whole genome sequence
2020	65	Deleterious coding variants found data in a family based study among affected family members in the African American Hereditary Prostate Cancer Study (AAHPC) families
2020	65	Integrated multi ethnicity GWAS and functional analysis identified causal variants in lung cancer
2020	65	Computational efficient method to detect genetic interactions associated with age of onset in a type
2020	65	diabetes Genome wide Association Study
2020	65	Improving trans ethnic portability of
2020	65	Detecting gene x environment polygenic risk scores with predicted interaction in rare variant analysis for expression traits survival outcomes
2020	65	Analysis of large scale biobanks and whole genome sequencing studies Challenges and opportunities
2020	65	Transcriptome wide association study of human facial shape identifies potential mediating genes
2020	65	High throughput reporter assay reveals functional impacts of
2020	65	UTR SNPs associated with neurological and psychiatric disorders
2020	65	Statistical model discovering 3D genetic basis underlying complex diseases An application to autism spectrum disorder data
2020	65	Testing Cell type specific Mediation Effects in Genome wide Epigenetic Studies
2020	65	Patients with a low PRS should be
2020	65	Analysis of the pleiotropy between prioritized to rare variant screening breast cancer and thyroid cancer
2020	65	Genome wide gene environment interaction study for breast cancer risk in European women, using data from the Breast Cancer Association Consortium
2020	65	Investigation of genetic risk modifiers of leg ulcer development in sickle cell patients using whole genome sequencing
2020	65	Metabolomic signatures of microRNAs in cardiovascular traits A Mendelian randomization analysis
2020	65	On a novel statistical method for integrating multi omics data
2020	65	Functional characterization of a variant for defining the target genes and their mechanistic underpinnings contributing to SLE susceptibility
2020	65	Omnigenic, polygenic or stratagenic? And why it matters for personalised medicine
2020	65	Genome wide analysis of copy number variation and normal facial variation in a large cohort of Bantu Africans
2020	65	Effect of AGER by smoking Interaction on lung function A genome wide interaction study
2020	65	Shared genomic segment analysis via equivalence testing
2020	65	Validation of genetic markers for prognosis in colon cancer patients treated with oxaliplatin based chemotherapy
2020	65	Network analysis with multi omics data using graphical LASSO
2020	65	Genome wide analyses identify novel variants associated with degree of depression and reveal importance of HDL cholesterol level
2020	65	Systematic analysis of population and familial effects in developmental
2020	65	Exploring the genetic architecture of stuttering the human neurological proteome using whole genome sequencing
2020	65	Brain cell types contributing risk to reading associated traits
2020	65	Climate change and increasing emergence of Nipah virus Ecological niche model to understand the current and future risk areas under different scenarios
2020	65	Genome wide association study of resistance to tuberculosis infection in exposed individuals from various endemic settings
2020	65	Imputation of the plasma proteome reveals novel associations with inflammatory diseases
2020	65	Large scale genomic analyses reveal insights into pleiotropy across circulatory system diseases and central nervous system disorders
2020	65	Polygenic risk scores Is there a need for a more accurate classification within ethnicities?
2020	65	Mitochondrial genetic regulation of mitochondrial DNA gene expression in blood
2020	65	Multiethnic study of genetics of dyslipidemia No evidence of cardio protective role of rare variants in the Apo CIII in non European populations
2020	65	Strength of polygenic risk score for type
2020	65	diabetes in Arab population
2020	65	Understanding the contribution of known cardiovascular related genes to sudden cardiac death in patients undergoing hemodialysis
2020	65	MixFAR A multiphenotype association model that detects structure in secondary phenotype space and increases power of association tests
2020	65	Applying a phenome risk score based model to identify undiagnosed developmental stuttering cases in a Biobank for genome wide association analysis
2020	65	Added value of biomarkers and polygenic risk scores as risk factors for coronary artery disease
2020	65	Polygenic risk scores for lung cancer in Chinese and Caucasian populations
2020	65	Development and validation of risk prediction model for lung cancer in Chinese populations A prospective cohort study of 0.5 million adults
2020	65	Identifying, testing, and correcting for bias in Mendelian randomization analyses using gene by environment interactions
2020	65	Using imputed genotype data in the joint score tests for genetic association and gene environment interactions in case control studies
2020	65	Benefits of phased whole genome sequence Examples from cystic fibrosis (CF)
2020	65	Assessment of imputation quality Comparison of phasing and imputation algorithms in real data
2020	65	Heterogeneity in obesity and its consequences on health
2020	65	Combining human and artificial intelligence Ensemble of convolutional neural networks for disease prediction from microbiome data
2020	65	Proteomic profiling and protein coregulatory network in plasma, cerebrospinal fluid, and brain tissues for Alzheimer's disease
2020	65	A systematic review on the use of methods for left censored biomarker data
2020	65	QCprocSE R package for quality control of processed gene expression data from microarray or RNA seq experiments
2020	65	Integration of high dimensional omics data using sparse orthogonal
2020	65	way partial least squares
2020	65	A Mendelian randomisation method for complex disease exposures
2020	65	Potential predictive factors for breast cancer subtypes from a North Cyprus cohort analysis
2020	65	Testing for the absence of causal effects Mendelian randomization turned
2020	65	Age Prediction in Targeted Whole around Genome Methylation Data
2020	65	Using off target data from whole exome sequencing to improve genotyping accuracy, association analysis, and polygenic risk prediction
2020	65	Efficient simulation of ancestry in large datasets
2020	65	Whole exome sequencing of severe asthma identifies novel gene association candidates
2020	65	A novel powerful eQTL weighted gene based association test using GWAS summary data
2020	65	Genetic colocalisation networks to inform and validate biological protein interactions
2020	65	Incorporating multiple sets of eQTL weights into gene by environment interaction analysis identifies novel susceptibility loci for pancreatic cancer
2020	65	Using polygenic, APOE and familial risk for Alzheimer's to identify potential mediators of Alzheimer's disease in the UK Biobank
